fréquence	tag	UD
2	zh	
2	?.?.verbe	
2	?.préposition.pronom	
2	re	
2	quantifieur.préposition.?.?	
2	adjectif.particules de discour	
2	%ean%	
2	complémenteur.complémenteur.verbe	
2	préposition.préposition.suffixe	
2	hon	
2	pronom-particules de discour	
2	complémenteur-nom	
2	me	
2	verbe-déterminant-nom	
2	préposition-suffixe	
2	?.?-pronom	
2	nom-quantifieur	
2	?.verbe.adjectif	
2	-où	
2	s]]	
2	verbe-?-?	
2	à	
2	?-préposition	
2	é	
2	?tapet	
2	Na	
2	g-pronom	
2	reçu_bien_terrible	
2	nom-?-?	
2	nom-nom-nom.nom	
2	auxiliaire-conjonction	
2	%espress%	
2	préposition-préposition.préposition-préposition	
2	nom.nom-nom	
2	g)	
2	que]]	
2	renket	
2	?-?.particules de discour	
1	quantifieur.finale	
1	=ont	
1	adverbe-verbe	
1	nom-nom.déterminant	
1	z-complémenteur	
1	conjonction-z	
1	nom.nom.finale	
1	?.préfixe	
1	préfixe-préfixe.verbe.verbe	
1	nom.préposition.suffixe	
1	%Biken%	
1	%Biskoazh%	
1	%biskoazh%	
1	5	
1	*ket	
1	?.verbe.suffixe	
1	nom.adjectif.préposition.verbe	
1	pronom-pronom.pronom.suffixe	
1	nom.particules de discour	
1	nom.adjectif.adjectif.préposition	
1	verbe-?-verbe	
1	verbe-verbe.verbe-verbe.verbe.?	
1	quantifieur-?-?-?.?	
1	nom.adjectif.?.préposition	
1	nom-nom.nom.nom.nom	
1	nom-Indéfini	
1	%eñ%	
1	préposition.indéfini	
1	adjectif.nom	
1	préposition.?.pronom	
1	préposition.pronom-particules de discour	
1	?-?-?-?-?-?-?	
1	adjectif-adjectif-adjectif.nom	
1	interjection.préposition.déterminant.interjection.interjection	
1	adverbe-adverbe-adverbe.verbe-adverbe	
1	verbe.nom.suffixe	
1	adjectif.nom.préposition	
1	?.pronom-?	
1	modaux.complémenteur	
1	?-?-?.nom.pluriel	
1	nom.?-verbe	
1	klañv	
1	préfixe.préfixe.?	
1	nom.suffixe.finale	
1	quantifieur-quantifieur	
1	verbe-verbe-verbe-verbe.verbe.adjectif	
1	?-?-?.nom.préposition	
1	préposition-préposition.adjectif	
1	Evit	
1	nom.préfixe-préfixe.nom.préfixe	
1	-bavardage	
1	/-kaozeadeg	
1	/-loskadurez	
1	anezhi	
1	auxiliaire.%ïans%	
1	déterminant.?	
1	Finale	
1	?.?.suffixe	
1	-couture	
1	%èrez%	
1	complémenteur.suffixe	
1	verbe.préposition.préposition	
1	préposition.pronom-pronom	
1	?.?-particules de discour	
1	-interjection	
1	adverbe-adverbe	
1	nom-nom.nom.nom	
1	%aï%	
1	alîes	
1	nom.nom.verbe	
1	%ebet%	
1	quantifieur.particules de discour	
1	préposition.préposition.nom	
1	finale-nom	
1	préposition.préposition-préposition	
1	un_temps	
1	adverbe.adverbe-verbe	
1	%diouzoh%/ahanoh	
1	nom.nom.adjectif	
1	complémenteur-adverbe	
1	complémenteur.Indéfini	
1	que	
1	nom.?-nom	
1	nom_collectif	
1	préfixe.adjectif	
1	préfixe.préfixe.préfixe	
1	4	
1	?.?.?-particules de discour	
1	adverbe.indéfini	
1	quantifieur-déterminant	
1	préfixe-verbe.adjectif	
1	B>V	
1	auxiliaire.préposition-pronom	
1	Paol	
1	ïans	
1	préfixe.nom.préfixe.préfixe	
1	?.adjectif-adjectif	
1	adjectif.adjectif-adjectif	
1	pronom.pronom.pronom	
1	?.adjectif-adverbe	
1	nom-nom.nom	
1	NF	
1	particules de discour.particules de discour-verbe	
1	adjectif-adjectif-adjectif.adjectif.adjectif.verbe	
1	préfixe-préfixe.préfixe	
1	?-?.nom.?.adjectif	
1	adjectif.nom_féminin	
1	?-?.particules de discour.verbe	
1	ebet	
1	nom_féminin	
1	préfixe-adjectif	
1	N_coll	
1	quantifieur.préposition.préposition.suffixe	
1	[[a	
1	P[[pronom_incorporé	
1	elle	
1	An	
1	nom-nom-nom.nom.adjectif	
1	?.?.?.suffixe	
1	?-?-verbe.adjectif	
1	verbe-verbe	
1	?-?-?.?.adjectif.verbe	
1	adverbe.nom_propre.nom_propre	
1	quantifieur.?.?.?.?.?.?.?	
1	quantifieur.suffixe-?	
1	adjectif.préposition.verbe	
1	quantifieur.préposition.finale	
1	verbe.adjectif.?	
1	-me	
1	1933:28,29	
1	aliesocxxxh	
1	nom-nom-nom	
1	quantifieur.quantifieur	
1	?-?-?.?.?-?	
1	adjectif.adverbe.adverbe	
1	%Biskoaz%	
1	%biskoaz%	
1	adjectif.adjectif.suffixe	
1	%d%	
1	préfixe.nom.verbe	
1	adjectif.?.?.suffixe	
1	coll	
1	fatigue	
1	v	
1	?-?.?-?.?.?	
1	un]]_?	
1	?.préposition.?-?	
1	nom.suffixe.adjectif	
1	?-?.nom.adjectif	
1	adjectif.adjectif.adjectif.adjectif.adjectif	
1	camion	
1	Camion	
1	K>G	
1	nom-nom-nom.nom.verbe	
1	R	
1	nom.préposition.verbe	
1	[[5]]_?	
1	?.adjectif-préposition	
1	[[alies	
1	souvent	
1	Alies,	
1	buan	
1	où	
1	?-pluriel	
1	quantifieur.?-?	
1	morse	
1	[[portée_ambigüe,_large_ou_restreinte	
1	femme	
1	jamais	
1	%mat%	
1	?-?.?.?	
1	%anezho%	
1	verbe.?-?-?	
1	suffixe.suffixe.verbe	
1	?.adjectif.adjectif	
1	quantifieur-quantifieur-quantifieur.adjectif	
1	%a%	
1	%eh%	
1	adjectif.suffixe.?	
1	adverbe.préposition	
1	adjectif.adjectif.adjectif-adjectif	
1	adjectif.?.?-?	
1	verbe.adjectif.?.suffixe	
1	adverbe-adverbe.adverbe.adverbe-préposition	
1	%R]]%	
1	nom.pluriel.pluriel	
1	non	
1	préposition-préposition.pronom	
1	complémenteur.?	
1	?-?.?.adjectif	
1	adjectif-exclamatif.exclamatif	
1	adjectif-particules de discour	
1	adjectif-préposition	
1	verbe.adjectif.complémenteur	
1	[netʃaru…	
1	adverbe.adverbe.verbe	
1	[[kaout	
1	avoir]]	
1	?-?.?.?-particules de discour	
1	?-?.?-particules de discour	
1	préposition-préposition-préposition.pronom	
1	pronom.préposition.préposition	
1	Ker	
1	adverbe-adverbe-adverbe	
1	postposition.?	
1	préposition-préposition.préposition.préposition-particules de discour	
1	adjectif.préposition-nom	
1	quantifieur-préposition.adjectif	
1	?-?.indéfini	
1	verbe.adverbe	
1	?.adjectif.?	
1	auxiliaire-préposition	
1	écrit	
1	adverbe-?	
1	complémenteur.verbe.pronom	
1	%penekoŋ%	
1	nom.complémenteur.complémenteur	
1	%penaus%	
1	le__[[1_[[gwez	
1	arbres[[-enn	
1	SG	
1	complémenteur.complémenteur-verbe	
1	auxiliaire-complémenteur	
1	gi	
1	adjectif.?.?-complémenteur	
1	?.F	
1	adjectif.quantifieur	
1	adverbe.quantifieur	
1	adverbe-quantifieur	
1	?.interjection	
1	suffixe.pluriel	
1	finale.verbe	
1	verbe.nom.finale	
1	Moëlan	
1	quantifieur.quantifieur.quantifieur	
