fréquence	t	UD
19	Matriona	
19	raio	
19	deoh	
19	hemañ	
19	kig	
19	em-eus	
19	Tout	
19	dén	
19	doh	
19	evañ	
19	c'hazh	
19	renket	
19	plac’hig	
19	g'	
19	getoñ	
19	men	
19	ranked	
19	yoa	
18	aour	
18	mab	
18	_[ø]_	
18	so	
18	Mont	
18	pennad	
18	goll	
18	lod	
18	diaes	
18	park	
18	Per	
18	traoñ	
18	buhez	
18	A-benn	
18	krog	
18	ti-mañ	
18	Red	
18	vond	
18	ree	
18	respont	
18	arhant	
18	devezh	
18	start	
18	fas	
18	marse	
18	mi	
17	rei	
17	wirionez	
17	anv	
17	Unan	
17	iliz	
17	Arsa	
17	gavout	
17	abred	
17	hag-eñ	
17	Gant	
17	kuzh	
17	blij	
17	kap	
17	dec'h	
17	peoc'h	
17	*	
17	leue	
17	du-se	
17	e-unan	
17	van	
17	gwellañ	
17	poan	
17	gwad	
17	sizhun	
17	egist	
17	e-kichen	
17	vé	
17	oun	
17	ou	
17	rac'h	
17	neoazh	
17	banniel	
17	boût	
17	servicher	
16	foeltr	
16	Anez	
16	deuz	
16	Bout	
16	gi	
16	gavet	
16	baotred	
16	etre	
16	zeu	
16	anavezet	
16	kavout	
16	Tud	
16	kenkoulz	
16	Re	
16	gompren	
16	mil	
16	bgcolor=-90FF80	
16	rankan	
16	ze	
16	zreid	
16	bourk	
16	honnez	
16	bord	
16	beb	
16	ve	
16	dezhe	
16	ê	
16	evet	
16	dioustu	
16	laosket	
16	an-unan	
16	c'hortoz	
16	vie	
16	memestra	
16	monet	
16	eat	
16	divhar	
16	Goude	
16	hé	
16	noe	
16	e-noa	
15	welan	
15	mod	
15	nebeut	
15	kentoc'h	
15	ennon	
15	Emañ	
15	zoken	
15	hat	
15	selaou	
15	soñjet	
15	Holl	
15	a-dreñv	
15	Mat	
15	voe	
15	Nemet	
15	lavarout	
15	parkeier	
15	P'	
15	koulz	
15	soñjal	
15	gaoud	
15	er-mêz	
15	kammed	
15	darn	
15	té	
15	gorf	
15	dezo	
15	Alies	
15	h	
15	gave	
15	priz	
15	beo	
15	Jermaned	
15	lâret	
15	oé	
15	oaled	
15	hè	
15	maner	
14	gante	
14	Pelec'h	
14	dienn	
14	Lod	
14	yezh	
14	erc'h	
14	aes	
14	yen	
14	defe	
14	!,	
14	Ata	
14	avat	
14	(…)	
14	pounner	
14	redek	
14	fri	
14	gemer	
14	c'harr	
14	hañ	
14	leun	
14	reomp	
14	tregont	
14	kêr	
14	kreñv	
14	dalc'het	
14	vag	
14	marh	
14	dastum	
14	goulenn	
14	Teir	
14	doenn	
14	deh	
14	traoù-se	
14	Seul	
14	Anna	
14	Ah	
14	save	
14	degaset	
14	komañset	
14	gober	
14	great	
14	houie	
14	genin	
14	É	
14	bochad	
14	zou	
14	mem	
14	Doc'h	
14	foenn	
14	Sant	
14	uion	
13	bleizi	
13	ae	
13	Pas	
13	vel	
13	tennañ	
13	ac'hanomp	
13	echu	
13	nav	
13	dleet	
13	Aotrou	
13	e-kreiz	
13	Gra	
13	darvoud	
13	dor	
13	p'	
13	Bo	
13	Lez	
13	Arabat	
13	berr	
13	barr	
13	Chaous	
13	neb	
13	Penaos	
13	dreid	
13	par	
13	lazhet	
13	lenn	
13	geot	
13	yar	
13	stêr	
13	warni	
13	War	
13	hañv	
13	hent-houarn	
13	biskoaz	
13	Deuet	
13	oam	
13	nompas	
13	ked	
13	taget	
13	kaoud	
13	peb	
13	prest	
13	Kerz	
13	troet	
13	vezent	
13	he-doa	
13	hoar	
13	gwraet	
13	amezogez	
13	fleur	
13	(espress)	
13	gouel	
13	haoñ	
13	jom	
13	g	
13	giz	
13	maouez	
13	laro	
13	mare	
13	gete	
13	donet	
13	brasañ	
13	e-lec'h	
12	heul	
12	biken	
12	__	
12	maouezed	
12	marc'had	
12	Emaint	
12	frankiz	
12	Mona	
12	desket	
12	Breizh	
12	Peus	
12	Kit	
12	bgcolor=-8E80FF	
12	enno	
12	ouien	
12	Ho	
12	zont	
12	sikour	
12	degouezhet	
12	gozh	
12	foar	
12	labourer	
12	arrebeuri	
12	Hi	
12	wenn	
12	paotred	
12	marteze	
12	pemp	
12	Gwechall	
12	toullad	
12	zi	
12	(ar	
12	ouzhpenn	
12	goz	
12	reent	
12	liou	
12	deliou	
12	marmouz	
12	Arru	
12	arri	
12	plah	
12	zorn	
12	revr	
12	den-ze	
12	person	
12	bank	
12	sellet	
12	kemer	
12	Mari	
12	krampouezh	
12	warnon	
12	dibenn	
12	drebet	
12	A-wechoù	
12	veche	
12	vintin	
12	kalon	
12	piz	
12	gear	
12	lennet	
12	ziskenn	
12	doñ	
12	espern	
12	Goulenn	
12	maread	
12	ouia	
12	fardiñ	
12	gouiet	
12	beta	
12	lamer	
12	geti	
12	anezhoñ	
12	zegouezh	
12	o-doa	
12	enez	
12	bét	
12	deviñ	
12	voa	
11	Deus	
11	c'hellan	
11	nac'h	
11	evezh	
11	heol	
11	Lavar	
11	___	
11	seizh	
11	bourmen	
11	D'	
11	Abaoe	
11	pegoulz	
11	C'hoazh	
11	tro	
11	Dec'h	
11	emaoc'h	
11	gas	
11	laeret	
11	niver	
11	menez	
11	zebr	
11	moarvat	
11	kroget	
11	nikun	
11	afer	
11	den.	
11	eas	
11	eta	
11	mañ	
11	bark	
11	Pegen	
11	deo	
11	ouzhin	
11	Gwelout	
11	Pet	
11	fur	
11	raent	
11	êz	
11	Evid	
11	yod	
11	joget	
11	marvet	
11	troc'hañ	
11	heñvel	
11	Lenaig	
11	glav	
11	E-barzh	
11	plouf	
11	seul	
11	brud	
11	hennez	
11	nie	
11	a-barzh	
11	Kontant	
11	planto	
11	ganeomp	
11	viche	
11	veha	
11	erruout	
11	et	
11	Monet	
11	digouet	
11	pegur	
11	arall	
11	nn	
11	peur	
11	loan	
11	lastez	
11	kemeret	
11	erbet	
11	chomel	
11	trema	
11	argant	
11	bah	
11	vourc'h	
11	goloet	
11	soudard	
11	po	
11	tennet	
11	tremen	
11	diou	
11	war-laez	
11	pign	
11	Eusa	
11	â	
10	ru	
10	ac'h	
10	lezet	
10	levrioù	
10	barlenn	
10	anal	
10	kalzig	
10	debriñ	
10	Tapet	
10	vint	
10	kaoz	
10	kentañ	
10	barrez	
10	Chom	
10	gwelout	
10	tizh	
10	bale	
10	paouez	
10	yac'h	
10	gwell	
10	kredet	
10	venne	
10	arc'hant	
10	o-unan	
10	garantez	
10	raen	
10	Kas	
10	eva	
10	spontus	
10	digor	
10	naer	
10	c'halz	
10	oferenn	
10	Diouzh	
10	glaz	
10	bgcolor=-80D0FF	
10	)	
10	vefen	
10	Ul	
10	porz	
10	vrao	
10	vicherourien	
10	pinvidig	
10	bugel	
10	frank	
10	ganit	
10	Job	
10	ezomm	
10	a-raog	
10	lan	
10	vall	
10	chome	
10	homañ	
10	(an	
10	pod	
10	memp	
10	Oh	
10	bleo	
10	Kompren	
10	Ben	
10	Laret	
10	vichen	
10	(Simone)	
10	lagad	
10	tad	
10	enta	
10	sorserezed	
10	bazh-balenioù	
10	doug	
10	zanvez	
10	barz	
10	ouezfe	
10	laboused	
10	gour	
10	nin	
10	laboura	
10	Meur	
10	ga'	
10	c'hig	
10	c'houde	
10	diskouezet	
10	abeg	
10	uhel	
10	treut	
10	marv	
10	Traoù	
10	heñv	
10	a-zevri	
10	Dre-mañ	
10	sauet	
10	sul	
10	feson	
10	durant	
10	liorzh	
10	stank	
10	(la)	
10	noñ	
10	Jos	
10	tenna	
10	gac'hat	
10	bemus	
10	Nort	
9	ke	
9	ean	
9	bgcolor=-FFDF80	
9	soubenn	
9	dostaat	
9	tiez	
9	liv	
9	plijet	
9	zour	
9	Mil	
9	Dav	
9	kav	
9	karout	
9	korn	
9	dre-holl	
9	deredet	
9	belec'h	
9	diskenn	
9	Ba	
9	Yannig	
9	kousket	
9	belo	
9	perzh	
9	leurenn	
9	dam	
9	c'hoarzhin	
9	eost	
9	madoù	
9	daouarn	
9	vijes	
9	c'houneze	
9	dek	
9	Lakaet	
9	ac'hanoc'h	
9	kanañ	
9	hogen	
9	gwez	
9	zebriñ	
9	Krog	
9	warc'hoazh	
9	eñvor	
9	zouar	
9	],	
9	zen	
9	ugent	
9	labous	
9	venn	
9	!.	
9	Naig	
9	d’ar	
9	pas	
9	lizher	
9	toaz	
9	blev	
9	Ze	
9	M-eus	
9	Hirio	
9	nebeud	
9	tremenet	
9	yaje	
9	selled	
9	enep	
9	kri	
9	amann	
9	ped	
9	bizaj	
9	blaz	
9	vugale.	
9	Bariz	
9	arruet	
9	c'h	
9	ranket	
9	erruet	
9	mervel	
9	lazet	
9	stad	
9	en-deus	
9	chatal	
9	veloioù	
9	gwasoh	
9	dei	
9	erruo	
9	alato	
9	plantañ	
9	gaver	
9	plantet	
9	Hogen	
9	poa	
9	moc'h	
9	gallet	
9	ioa	
9	es	
9	vn	
9	zeuio	
9	Chin	
9	Anmañ	
9	pemoc'h	
9	melchon	
9	gér	
9	glepet	
9	sukr	
9	Chiou	
9	pasein	
9	paket	
9	rag	
9	gouzoud	
9	peze	
9	war-du	
9	veho	
9	kondui	
9	sklaer	
9	hurdioù	
9	dimezet	
9	weler	
9	velo	
9	digaset	
9	diàr	
9	arre	
9	lake	
9	a-vihanoc'h	
9	Hiziv	
9	ir	
9	predet	
9	stardet	
9	Keuz	
9	helle	
9	Yoñ	
9	ael	
9	bars	
9	golo	
9	dehou	
9	nan	
9	kouezho	
9	à	
9	Mond	
9	pétra	
9	hezeg	
9	roud-avel	
9	e-touez	
9	ludu	
9	bouliji.	
9	o-deus	
9	hint	
9	moh	
9	hureet	
9	zervicha	
9	ordinateur	
8	Kê	
8	Koulz	
8	deir	
8	Tanfoeltr	
8	Peseurt	
8	dalv	
8	timad	
8	gontell	
8	redet	
8	keit	
8	teufe	
8	a-hed	
8	Chomit	
8	sonjoù	
8	Taol	
8	lavaran	
8	dedennet	
8	Ale	
8	lavarez	
8	dad	
8	war-lerc'h	
8	oas	
8	gaezh	
8	dremen	
8	bell	
8	peder	
8	outi	
8	kaozeal	
8	Diwall	
8	C'hoant	
8	dimeziñ	
8	chas	
8	gortoz	
8	bije	
8	(ket)	
8	vefec'h	
8	gor	
8	Echu	
8	pelloc'h	
8	perak	
8	Ouzhpenn	
8	glesker	
8	Hep	
8	evidon	
8	kred	
8	alïes	
8	gement	
8	skañv	
8	lemm	
8	neketa	
8	emaon	
8	bo	
8	Kollet	
8	divesker	
8	Salv	
8	taolet	
8	Nann	
8	-mañ	
8	logodenn	
8	teuas	
8	lies	
8	glev	
8	moged	
8	vuoc'h	
8	asambles	
8	Daou	
8	Marteze	
8	Meus	
8	skeul	
8	am-bez	
8	farsal	
8	vad,	
8	avalou	
8	on-oa	
8	ervad	
8	e-nevoa	
8	grohen	
8	laza	
8	:	
8	ganeoh	
8	m-eus	
8	Eul	
8	ahann	
8	leiz	
8	he-devoa	
8	kinniget	
8	damm	
8	partout	
8	tôl	
8	Bez	
8	dra-mañ	
8	warno	
8	kargañ	
8	Kaer	
8	genou	
8	Kap	
8	skolaer	
8	chevr	
8	dakenn	
8	lamm	
8	Bara	
8	dillad	
8	dond	
8	vat,	
8	Herri	
8	Damen	
8	brezoneg	
8	enne	
8	dachenn	
8	vuzul	
8	digant	
8	e-skoaz	
8	posubl	
8	Roet	
8	brini	
8	blanto	
8	guet	
8	ampart	
8	marvailhou	
8	fest	
8	war-bouez	
8	rener	
8	u	
8	holen	
8	devet	
8	forn	
8	laezh	
8	geier	
8	leazh	
8	ouzer	
8	gaera	
8	hont	
8	la'	
8	vev	
8	spont	
8	rezin	
8	Tost	
8	amezeien	
8	meho	
8	vezomp	
8	Daouchte	
8	houarn	
8	(Ne)	
8	rankas	
8	Deuit	
8	Dorothée	
8	lâre	
8	yoc'h	
8	taoler	
8	nend	
8	litrad	
8	arsav	
8	bemnoz	
8	daet	
8	doé	
8	lazher	
8	Frank	
8	glac'har	
8	Hennañ	
8	my	
8	skoaz-doc'h-skoaz	
8	par-doc'h-par	
8	Daousto	
8	kerzhe	
8	pasapl	
8	hiriv	
8	hou	
8	kleuet	
8	vuoh	
8	pilet	
8	plijadur	
8	raok	
8	ind	
8	Treboull	
8	lann	
8	stage	
8	foñs	
8	kost	
8	neho	
8	ndrahe	
8	pegiz	
8	oa-eñ	
8	amz'	
8	Sikour	
8	Ba'	
8	n-oa	
8	disterañ	
8	gle	
8	reamp	
8	c'helles	
8	ouient	
8	asiedoù	
8	bankeier	
8	c'hraonv	
8	choum	
8	Bevañ	
8	evel-just	
8	hell	
8	goustoum	
8	e-teid	
8	ral	
8	(laeret)	
7	bobl	
7	beuc'h	
7	ster	
7	gein	
7	koant	
7	on-me	
7	vezer	
7	Harpet	
7	braouac'hus	
7	harluet	
7	c'henvroiz	
7	kras	
7	hiziv	
7	avaloù	
7	a-dreuz	
7	virout	
7	raint	
7	sec'h	
7	Se	
7	zeiz	
7	marc'hadour	
7	Biken	
7	gentañ	
7	voazin	
7	vrezhoneg	
7	(da	
7	Eman	
7	preur	
7	prim	
7	c'hwezhe	
7	peuzziwiskoc’h	
7	komzet	
7	distagañ	
7	Selaou	
7	istor	
7	Kavet	
7	Pedet	
7	dreist	
7	karet	
7	Sellout	
7	roud	
7	pevar	
7	Oc'h	
7	deveze	
7	brenañ	
7	gresk	
7	gwezenn	
7	evito	
7	chomfes	
7	pikol	
7	Vari	
7	win	
7	klemm	
7	em-oa	
7	plij	
7	bev	
7	tier	
7	vezan	
7	si	
7	kelennerien	
7	zeha	
7	welomp	
7	hanter-kant	
7	friket	
7	a-bezh	
7	gwele	
7	a-hervez	
7	gousked	
7	oufe	
7	mezo	
7	Peleh	
7	baour	
7	lodenn	
7	yehed	
7	tut	
7	barreg	
7	c'hoar	
7	bete-gouzoud	
7	pri	
7	lorc'h	
7	Soñjet	
7	dom	
7	saro	
7	boazet	
7	araog	
7	penegwir	
7	briz	
7	-hu	
7	Diwar	
7	Pêr	
7	ordinal	
7	laer	
7	jeu	
7	pije	
7	Prest	
7	plouz	
7	seurezed	
7	Roll	
7	c'helaouennoù	
7	brezhonek	
7	adalek	
7	brezel-bed	
7	goadeg	
7	fouter	
7	Frans	
7	reunenn	
7	gemerout	
7	Diou	
7	yec'hed	
7	rastell	
7	hac	
7	Pan	
7	tostaat	
7	Nijet	
7	kana	
7	ie	
7	bemdeiz	
7	Etre	
7	bevet	
7	kennebeut	
7	amoric	
7	iolivic	
7	indan	
7	del	
7	plac'hig	
7	heveleb	
7	baʁ	
7	kavan	
7	Chomet	
7	bizaoù	
7	Sko	
7	azen	
7	diwetoc'h	
7	nebeutoc'h	
7	Ka	
7	brom	
7	c'hoenn	
7	marc'h	
7	Mi	
7	werza	
7	c'hoarioù	
7	gador	
7	komañs	
7	kin	
7	mesklet	
7	alkol	
7	evomp	
7	Amelia	
7	(hag)	
7	ani	
7	(,	
7	anei	
7	a-grenn	
7	Morse	
7	nizez	
7	nompaz	
7	I	
7	ospital	
7	ferson	
7	tuchantik	
7	parlant	
7	zoulloù	
7	pemdeziek	
7	doc'hin	
7	c'hellehe	
7	raer	
7	sailh	
7	mour	
7	Hañni	
7	a-oudé	
7	mam	
7	walc'h	
7	rein	
7	ankouaat	
7	henn	
7	dehe	
7	koutant	
7	naan	
7	Atav	
7	vlé	
7	gwinizh	
7	zastum	
7	c'hav	
7	labouret	
7	Just	
7	yér	
7	gempenn	
7	genoc'h	
7	a-zoc’htoñ	
7	geté	
7	flastret	
7	deoc’h	
7	paseet	
7	pandeogwir	
7	c'hoef	
7	netaat	
7	tamall	
7	Morwena	
7	Be	
7	glu	
7	Heoñv	
7	dle	
7	diboa	
7	chetu	
7	(e)c'h	
7	furnez	
7	Degas'	
7	harz-glav	
7	betegoût	
7	barrad	
7	rial	
7	két	
7	gwella	
7	mo'	
7	ka'	
7	c'houl-taro	
7	vilin-se	
7	gase	
7	genaouajou	
7	mêz	
7	sarfen	
7	rejont	
7	Hiniennou	
7	Vreiz	
7	apprenti	
7	c'henderv	
7	rochedoù	
7	tiegez	
7	Alar	
7	kalm	
7	foug	
7	fichañ	
7	daouchte	
7	dibri	
7	frouezen	
7	rest	
7	vue	
7	divreoc'h	
7	sañset	
7	partiet	
7	kavi	
7	gendere	
7	merc'hig	
6	waz	
6	ankou	
6	drugarez	
6	drol	
6	bezan	
6	para	
6	nihe	
6	beteg	
6	genaoueg	
6	nemedon	
6	straed	
6	enezennoù	
6	her	
6	a-sav	
6	kontet	
6	e-leizh	
6	Alato	
6	sot	
6	pomperion	
6	archerion	
6	sikourerion	
6	Milou	
6	laouen	
6	Lakaat	
6	diri	
6	Muioc'h	
6	Bastik	
6	Pebezh	
6	Deomp	
6	Gwir	
6	chomas	
6	labourer-douar	
6	dilabour	
6	kement-all	
6	c'hloc'h	
6	sac'h	
6	c'had	
6	zaoulagad	
6	Laouen	
6	dale	
6	seier	
6	darev	
6	karantez	
6	Arturo	
6	Tevel	
6	zalc'h	
6	tasad	
6	Rannvro	
6	lanv	
6	mel	
6	taer	
6	e-kerz	
6	paludoù-holen	
6	emezañ	
6	Satordallik	
6	Emaon	
6	gefridi	
6	skeudenn	
6	Ped	
6	loar	
6	houllan	
6	drist	
6	serret	
6	tonton	
6	laeron	
6	het	
6	Ret-holl	
6	lern	
6	Hor	
6	kegin	
6	degemer	
6	ren	
6	c'hozh	
6	gentel	
6	Tri	
6	mein	
6	fardet	
6	pedet	
6	Gortoz	
6	resis	
6	«	
6	Klask	
6	x	
6	warn-ugent	
6	(lennet)	
6	Tom	
6	Tamm	
6	Hañ	
6	Pa'	
6	souezhet	
6	tommet	
6	c'hirri	
6	mintin-mañ	
6	diwar-benn	
6	kompren	
6	Morwenna	
6	doun	
6	soudarded	
6	skrivet	
6	wreg	
6	Peur	
6	E-pad	
6	Ober	
6	hec'h	
6	du-hont	
